Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"May 16, 2018",188.18,186.07,188.46,186.0,19.18M
"May 15, 2018",186.44,186.78,187.07,185.1,23.70M
"May 14, 2018",188.15,189.01,189.53,187.86,20.78M
"May 11, 2018",188.59,189.49,190.06,187.45,26.21M
"May 10, 2018",190.04,187.74,190.37,187.65,27.99M
"May 09, 2018",187.36,186.55,187.4,185.22,23.21M
"May 08, 2018",186.05,184.99,186.22,183.66,28.40M
"May 07, 2018",185.16,185.18,187.67,184.75,42.45M
"May 04, 2018",183.83,178.25,184.25,178.17,56.20M
"May 03, 2018",176.89,175.88,177.5,174.44,34.07M
"May 02, 2018",176.57,175.22,177.75,173.8,66.54M
"May 01, 2018",169.1,166.41,169.2,165.27,53.57M
"Apr 30, 2018",165.26,162.13,167.26,161.84,42.43M
"Apr 27, 2018",162.32,164.0,164.33,160.63,35.66M
"Apr 26, 2018",164.22,164.12,165.73,163.37,27.96M
"Apr 25, 2018",163.65,162.62,165.42,162.41,28.38M
"Apr 24, 2018",162.94,165.67,166.33,161.22,33.69M
"Apr 23, 2018",165.24,166.83,166.92,164.09,36.52M
"Apr 20, 2018",165.72,170.59,171.22,165.43,65.49M
"Apr 19, 2018",172.8,174.95,175.39,172.66,34.81M
"Apr 18, 2018",177.84,177.81,178.82,176.88,20.75M
"Apr 17, 2018",178.24,176.49,178.94,176.41,26.61M
"Apr 16, 2018",175.82,175.03,176.19,174.83,21.58M
"Apr 13, 2018",174.73,174.78,175.84,173.85,25.12M
"Apr 12, 2018",174.14,173.41,175.0,173.04,22.89M
"Apr 11, 2018",172.44,172.23,173.92,171.7,22.43M
"Apr 10, 2018",173.25,173.0,174.0,171.53,28.61M
"Apr 09, 2018",170.05,169.88,173.09,169.84,29.02M
"Apr 06, 2018",168.38,170.97,172.48,168.2,35.01M
"Apr 05, 2018",172.8,172.58,174.23,172.08,26.93M
"Apr 04, 2018",171.61,164.88,172.01,164.77,34.61M
"Apr 03, 2018",168.39,167.64,168.75,164.88,30.28M
"Apr 02, 2018",166.68,167.88,168.94,164.47,37.59M
"Mar 29, 2018",167.78,167.81,171.75,166.9,38.40M
"Mar 28, 2018",166.48,167.25,170.02,165.19,41.67M
"Mar 27, 2018",168.34,173.68,175.15,166.92,40.92M
"Mar 26, 2018",172.77,168.07,173.1,166.44,37.54M
"Mar 23, 2018",164.94,168.39,169.92,164.94,41.03M
"Mar 22, 2018",168.85,170.0,172.68,168.6,41.49M
"Mar 21, 2018",171.27,175.04,175.09,171.26,37.05M
"Mar 20, 2018",175.24,175.24,176.8,174.94,19.65M
"Mar 19, 2018",175.3,177.32,177.47,173.66,33.45M
"Mar 16, 2018",178.02,178.65,179.12,177.62,39.40M
"Mar 15, 2018",178.65,178.5,180.24,178.07,22.74M
"Mar 14, 2018",178.44,180.32,180.52,177.81,29.37M
"Mar 13, 2018",179.97,182.59,183.5,179.24,31.69M
"Mar 12, 2018",181.72,180.29,182.39,180.21,32.21M
"Mar 09, 2018",179.98,177.96,180.0,177.39,32.19M
"Mar 08, 2018",176.94,175.48,177.12,175.07,23.77M
"Mar 07, 2018",175.03,174.94,175.85,174.27,31.70M
"Mar 06, 2018",176.67,177.91,178.25,176.13,23.79M
"Mar 05, 2018",176.82,175.21,177.74,174.52,28.40M
"Mar 02, 2018",176.21,172.8,176.3,172.45,38.45M
"Mar 01, 2018",175.0,178.54,179.78,172.66,48.80M
"Feb 28, 2018",178.12,179.26,180.62,178.05,37.78M
"Feb 27, 2018",178.39,179.1,180.48,178.16,38.93M
"Feb 26, 2018",178.97,176.35,179.39,176.21,38.16M
"Feb 23, 2018",175.5,173.67,175.65,173.54,33.81M
"Feb 22, 2018",172.5,171.8,173.95,171.71,30.99M
"Feb 21, 2018",171.07,172.83,174.12,171.01,37.47M
"Feb 20, 2018",171.85,172.05,174.26,171.42,33.93M
"Feb 16, 2018",172.43,172.36,174.82,171.77,40.18M
"Feb 15, 2018",172.99,169.79,173.09,169.0,51.15M
"Feb 14, 2018",167.37,163.04,167.54,162.88,40.64M
"Feb 13, 2018",164.34,161.95,164.75,161.65,32.55M
"Feb 12, 2018",162.71,158.5,163.89,157.51,60.82M
"Feb 09, 2018",156.41,157.07,157.89,150.24,70.67M
"Feb 08, 2018",155.15,160.29,161.0,155.03,54.39M
"Feb 07, 2018",159.54,163.09,163.4,159.07,51.61M
